0.00054705,0,0.39168,0.0027352,0,0.045952,0,0,0,0,0,0.00054705,0,0,0,0,0,0,0,0.55853
0,0.10223,0,0,0.25997,0.0044404,0.0082753,0,0.26027,0.12716,0,0.02422,0,0.096579,0.0070643,0,0,0.097184,0,0.012615
0.064675,0,0.021102,0.0041107,0,0,0.029597,0.0013702,0.69498,0.0068512,0.040011,0,0,0,0.11866,0,0.016717,0,0,0.0019183
0.00027278,0.1563,0,0.0010911,0.18249,0.03928,0.039825,0.0015003,0,0.085106,0.00013639,0.02796,0.00040917,0.088107,0.19708,0.00027278,0.0016367,0.0015003,0.17703,0
0.044444,0.095292,0.0028249,0,0.24294,0.10038,0,0,0.0026365,0.11431,0.14802,0,0.098305,0,0,0.15085,0,0,0,0
0,0.011233,7.3899e-05,0.024682,0.0001478,0,0.090822,0.0011085,0.26929,0.00059119,0.0017736,0.018105,0.036654,0.0014041,0.05668,0.35198,0.016184,0.071756,0.047443,7.3899e-05
0,0.0010352,0.0017253,0,0.033126,0,0.0093168,0.044168,0.42788,0,0,0,0.0062112,0,0.0245,0.37716,0.074879,0,0,0
0.012413,0.037021,0.081124,0.019715,0.094706,0.038846,0.01548,0,0.086674,0.098576,0,0.025849,0.064622,0.022636,0.013436,0.21606,0.0027747,0.079664,0.051114,0.039284
0,0.192,0.044535,0.00022722,0.2988,0.031357,0.15905,0.00090888,0,0.13792,0.015678,0,0.0090888,0.071347,0.0011361,0,0.037491,0,0,0.00045444
0.0019785,0.074522,0.10332,0.13739,0,0,0.061332,0.00043966,0,0.031875,0.047923,0,0,0.2838,0.074522,0.00087931,0.035832,0.010332,0.13563,0.00021983
0,0.10987,0.07293,0,0.23323,0.018588,0.0014207,0.0052093,0.0021311,0.11484,0.053336,0.0069851,0.033683,0.0042621,0.16184,0.14983,0,0.031137,0.00071035,0
0,0.15617,0,0.0012346,0.40123,0.021914,0.089815,0.033951,0.00030864,0.18735,0,0.0083333,0.037963,0,0.00030864,0.014198,0,0.047222,0,0
0.019771,0.10004,0.072657,0.00039541,0.25504,0.020265,0,0,0,0.19444,0.0084025,0.021451,0.059312,0.020858,0.00079083,0.018387,0.086398,0.0096876,0.0016805,0.11042
0.07571,0.00045065,0.22217,0.017125,0.047319,0.061289,0.021181,0.028842,0,0.0036052,0.04822,0.001352,0.38396,0.0031546,0.077062,0,0.0076611,0,0.00090131,0
0.00045331,0.26791,0,0,0.29533,0.0049864,0.065277,0.099275,0.026065,0.13758,0.050997,0.0056664,0.024025,0.00067996,0.012466,0.00090662,0.0015866,0.0018132,0.0045331,0.00045331
0.22794,0.0023396,0.020722,0.012366,0,0.17413,0.033422,0,0.39505,0,0.08389,0.027741,0,0,0,0.015374,0.003008,0,0,0.0040107
0,0.046504,0,0,0.0048108,0,0.061899,0,0,0,0.019564,0.0016036,0,0.0048108,0.11931,0.74086,0.00032072,0,0,0.00032072
